Date,AdjustedVolume,MarketCap,AdjustedOpenPrice,AdjustedLowPrice,AdjustedHighPrice,AdjustedClosePrice,Volume,ClosePrice,OpenPrice,LowPrice,HighPrice
2016-06-22,29219122.0,505802441512.0,91.9542387091432,91.0944068666681,92.5656746860144,91.2854806094404,29219122.0,95.55,96.25,95.35,96.89
2016-06-21,35546358.0,507708133599.0,90.702705693985,90.4504883535257,92.0497755805294,91.6294133464304,35546358.0,95.91,94.94,94.676,96.35
2016-06-20,34411901.0,503420326403.0,91.7153965306779,90.7886888782325,92.2599566975788,90.8555646882028,34411901.0,95.1,96.0,95.03,96.57
2016-06-17,61008219.0,504637851903.0,92.3077251332719,91.0466384309751,92.3363861946877,91.0752994923909,61008219.0,95.33,96.62,95.3,96.65
2016-06-16,31326815.0,516389619775.0,92.1453124519155,91.7822723406482,93.3872917799351,93.1962180371628,31326815.0,97.55,96.45,96.07,97.75
2016-06-15,29445227.0,514219248231.0,93.4541675899054,92.699426305955,94.0178351310835,92.8045168644797,29445227.0,97.14,97.82,97.03,98.41
2016-06-14,31931944.0,515913196753.0,92.9764832329747,92.4319230660738,94.0799340974845,93.1102348529153,31931944.0,97.46,97.32,96.75,98.475
2016-06-13,38020494.0,515277966057.0,94.2853383709646,92.7663021159253,94.696146917925,92.995590607252,38020494.0,97.34,98.69,97.1,99.12
2016-06-10,31712936.0,523165413863.0,94.1324793767468,94.0847109410538,94.9117736366434,94.4190899909052,31712936.0,98.83,98.53,98.48,99.3457
2016-06-09,26601354.0,527506156951.0,94.103818315331,94.0656035667765,95.5273176989842,95.2024923362714,26601354.0,99.65,98.5,98.46,99.99
2016-06-08,20848131.0,523747708668.0,94.6006100465388,94.275784683826,95.1165091520239,94.5241805494299,20848131.0,98.94,99.02,98.68,99.56
2016-06-07,22409450.0,524224131690.0,94.8203448507269,94.5432879237072,95.4126734533209,94.6101637336775,22409450.0,99.03,99.25,98.96,99.87
2016-06-06,23292504.0,522106696037.0,93.6165802712618,93.1962180371628,97.3425182553206,94.228016248133,23292504.0,98.63,97.99,97.55,101.89
2016-06-03,28504888.0,518348247754.0,93.4255065284895,93.1006811657767,93.8840835111429,93.5497044612915,28504888.0,97.92,97.79,97.45,98.27
2016-06-02,40191600.0,517289529927.0,93.2439864728559,92.3172788204105,93.4732749641826,93.3586307185192,40191600.0,97.72,97.6,96.63,97.84
2016-06-01,29173285.0,521206785885.0,94.6006100465388,93.9414056339746,95.0974017777467,94.0656035667765,29173285.0,98.46,99.02,98.33,99.54
2016-05-31,42307212.0,528617810669.0,95.1547239005783,94.4095363037666,95.9190188716673,95.4031197661823,42307212.0,99.86,99.6,98.82,100.4
2016-05-27,36341240.0,531211669343.0,95.0018649063606,94.8155680071576,95.9858946816376,95.8712504359743,36341240.0,100.35,99.44,99.245,100.47
2016-05-26,56331159.0,531529284691.0,95.2311533976873,94.2375699352716,96.2342905472415,95.9285725588059,56331159.0,100.41,99.68,98.64,100.73
2016-05-25,38642108.0,527347349277.0,94.2662309966874,93.7312245169251,95.2884755205189,95.1738312748556,38642108.0,99.62,98.67,98.11,99.74
2016-05-24,35140174.0,518242375971.0,92.8809463615886,92.5179062503214,93.7121171426479,93.5305970870143,35140174.0,97.9,97.22,96.84,98.09
2016-05-23,38018643.0,510460799948.0,91.591198597876,91.4001248551037,92.8522853001728,92.1262050776383,38018643.0,96.43,95.87,95.67,97.19
2016-05-20,32025968.0,504055557099.0,90.4160950798267,90.3014508341633,91.170836363777,90.9702089338662,32025968.0,95.22,94.64,94.52,95.43
2016-05-19,30442100.0,498656096185.0,90.4160950798267,89.3938505559951,90.4160950798267,89.9957328457277,30442100.0,94.2,94.64,93.57,94.64
2016-05-18,42062391.0,500561788272.0,89.9575180971733,89.6995685444307,90.9606552467276,90.3396655827178,42062391.0,94.56,94.16,93.89,95.21
2016-05-17,46916939.0,494897647901.0,90.3301118955792,88.8588440762329,90.4734172026583,89.3174210588862,46916939.0,93.49,94.55,93.01,94.7
2016-05-16,61259756.0,496962147663.0,88.2665154736389,87.5595426253816,90.1772529013614,89.6900148572921,61259756.0,93.88,92.39,91.65,94.39
2016-05-13,44392765.0,479175688181.0,85.9831842475106,85.9831842475106,87.5786499996588,86.4799759787184,44392765.0,90.52,90.0,90.0,91.67
2016-05-12,76314690.0,478222842137.0,88.5817871492131,85.4768388291641,88.6391092720448,86.3080096102234,76314690.0,90.34,92.72,89.47,92.78
2016-05-11,28719109.0,489709930552.0,89.3078673717476,88.3333912836092,89.3938505559951,88.3811597193022,28719109.0,92.51,93.48,92.46,93.57
2016-05-10,33686836.0,494527096662.0,89.1645620646684,87.9990122337578,89.3938505559951,89.250545248916,33686836.0,93.42,93.33,92.11,93.57
2016-05-09,32936436.0,491192135509.0,88.8492903890943,88.4575892164112,89.5849242987674,88.6486629591834,32936436.0,92.79,93.0,92.59,93.77
2016-05-06,43699886.0,490821584270.0,89.2027768132229,87.7506163681538,89.2792063103318,88.5817871492131,43699886.0,92.72,93.37,91.85,93.45
2016-05-05,35890500.0,493574250618.0,89.8046591029555,88.5435724006587,89.8715349129258,89.0785788804209,35890500.0,93.24,94.0,92.68,94.07
2016-05-04,41025475.0,495585814488.0,90.400702070376,89.0902717252382,91.0654131150112,89.4416189916882,41025475.0,94.19,95.2,93.82,95.9
2016-05-03,56831277.0,500794753403.0,89.4511148637544,88.9573295163112,90.9134791619517,90.3817103262436,56831277.0,95.18,94.2,93.68,95.74
2016-05-02,48160104.0,492691959536.0,89.2279618701984,87.7418578918356,89.3371643989598,88.9193460280463,48160104.0,93.64,93.965,92.4,94.08
2016-04-29,68531478.0,493218114982.0,89.2517015503639,87.8463124845639,89.9449002111977,89.0143047487085,68531478.0,93.74,93.99,92.51,94.72
2016-04-28,82242690.0,498953209342.0,92.6892072383341,89.4985942240855,92.9455957841219,90.049354803926,82242690.0,94.83,97.61,94.25,97.88
2016-04-27,114602142.0,514685257174.0,91.1603718356733,90.8565039295544,93.7337531656178,92.8886205517246,114602142.0,97.82,96.0,95.68,98.71
2016-04-26,56016165.0,549043207791.0,98.6716066400501,98.6716066400501,99.9915328572542,99.0894250109636,56016165.0,104.35,103.91,103.91,105.3
2016-04-25,28031588.0,552884142546.0,99.7066566952677,99.2413589640231,100.323888379572,99.7826236717974,28031588.0,105.08,105.0,104.51,105.65
2016-04-22,33683121.0,556041075222.0,99.7161525673339,99.3458135567515,101.112045761068,100.35237599577,33683121.0,105.68,105.01,104.62,106.48
2016-04-21,31552525.0,557566926015.0,101.539360004047,100.200442042711,101.539360004047,100.627756285691,31552525.0,105.97,106.93,105.52,106.93
2016-04-20,30611030.0,563670329187.0,101.263979714127,100.713219134287,102.640881163728,101.729277445372,30611030.0,107.13,106.64,106.06,108.09
2016-04-19,32384879.0,562512787206.0,102.441467850338,100.874648959412,102.555418315132,101.520368259915,32384879.0,106.91,107.88,106.23,108.0
2016-04-18,60821461.0,565511873248.0,103.400550929026,101.548855876114,103.457526161423,102.061632967689,60821461.0,107.48,108.89,106.94,108.95
2016-04-15,46938969.0,577981757316.0,106.458221734347,104.198204182588,106.638643303605,104.312154647382,46938969.0,109.85,112.11,109.73,112.3
2016-04-14,25473923.0,589820254848.0,105.992924003103,105.717543713182,106.724106152201,106.448725862281,25473923.0,112.1,111.62,111.33,112.39
2016-04-13,33257316.0,589504561581.0,105.214262493673,105.214262493673,106.67662679187,106.391750629884,33257316.0,112.04,110.8,110.8,112.34
2016-04-12,27232325.0,581086074446.0,103.827865172005,103.182145871503,104.929386331686,104.872411099289,27232325.0,110.44,109.34,108.66,110.5
2016-04-11,29407518.0,573614667115.0,103.476517905555,103.343575696628,105.033840924415,103.523997265886,29407518.0,109.02,108.97,108.83,110.61
2016-04-08,23581740.0,571720507509.0,103.419542673158,102.716848140258,104.236187670853,103.182145871503,23581740.0,108.66,108.91,108.17,109.77
2016-04-07,31801870.0,571089120974.0,104.407113368045,102.670318367134,104.853419355157,103.068195406708,31801870.0,108.54,109.95,108.121,110.42
2016-04-06,26404077.0,583822082765.0,104.672997785899,103.694922963078,105.385188190865,105.366196446732,26404077.0,110.96,110.23,109.2,110.98
2016-04-05,26578652.0,577771295137.0,103.989294997131,103.903832148535,105.147791389209,104.274171159118,26578652.0,109.81,109.51,109.42,110.73
2016-04-04,37356204.0,584663931478.0,104.853419355157,104.710981274163,106.534188710877,105.518130399792,37356204.0,111.12,110.42,110.27,112.19
2016-04-01,25873950.0,578718374940.0,103.296096336297,102.745335756457,104.454592728376,104.445096856309,25873950.0,109.99,108.78,108.2,110.0
2016-03-31,25888449.0,573456820481.0,104.188708310522,103.391055056959,104.359634007714,103.495509649688,25888449.0,108.99,109.72,108.88,109.9
2016-03-30,45601149.0,576455906522.0,103.172649999437,103.125170639105,104.853419355157,104.036774357462,45601149.0,109.56,108.65,108.6,110.42
2016-03-29,31190083.0,566564184140.0,99.6022021025393,99.5927062304731,102.356005001742,102.251550409014,31190083.0,107.68,104.89,104.88,107.79
2016-03-28,19411372.0,553462913537.0,100.656243901889,99.763631927665,100.836665471147,99.8870782645258,19411372.0,105.19,106.0,105.06,106.19
2016-03-24,26132955.0,561330814958.0,100.15296268238,99.6022021025393,100.893640703545,100.342880123704,26132955.0,105.67,105.47,104.89,106.25
2016-03-23,25703495.0,563774386216.0,101.112045761068,100.561285181227,101.672302212974,100.77969023875,25703495.0,106.13,106.48,105.9,107.07
2016-03-22,32444375.0,566908531961.0,99.9440534969231,99.9060700086582,101.881211398431,101.339946690657,32444375.0,106.72,105.25,105.21,107.29
2016-03-21,35502678.0,562605721701.0,100.589772797426,99.8396938629154,102.223062792815,100.570781053293,35502678.0,105.91,105.93,105.1401,107.65
