Date,AdjustedLowPrice
2012-05-23,69.5016737533409
2012-05-22,69.4200149713882
2012-05-21,67.0921115412608
2012-05-18,65.6008965539098
2012-05-17,66.5983899826854
2012-05-16,67.9702575194902
2012-05-15,69.3157429882794
2012-05-14,70.0506720258534
2012-05-11,70.898667069208
2012-05-10,71.4126148799285
2012-05-09,70.4589659356167
2012-05-08,70.1926326775557
2012-05-07,70.5067049158352
2012-05-04,71.0016827633636
2012-05-03,72.902447949431
2012-05-02,72.721542340182
2012-05-01,73.019282822071
2012-04-30,73.2416459667728
2012-04-27,75.4401516347291
2012-04-26,75.6449267340873
2012-04-25,76.131110558944
2012-04-24,69.7240368980427
2012-04-23,69.9275557084478
2012-04-20,71.6612344637505
2012-04-19,73.4326018876467
2012-04-18,75.7177914933682
2012-04-17,71.8484215177651
2012-04-16,72.6449087140418
2012-04-13,75.8182946096176
2012-04-12,77.9527295409649
2012-04-11,78.3097919872201
2012-04-10,78.6436884651797
2012-04-09,78.5557482384615
2012-04-05,78.3170533373691
2012-04-04,77.5130284073736
2012-04-03,78.2052436205416
2012-04-02,75.4250761672917
2012-03-30,75.118541662731
2012-03-29,76.2856341001775
2012-03-28,76.6725710977378
2012-03-27,76.1386482926627
2012-03-26,74.7818562232953
2012-03-23,74.6739410022225
2012-03-22,74.8157760250295
2012-03-21,75.5544739294629
2012-03-20,73.116017071461
2012-03-19,74.0017007834091
2012-03-16,72.6135014902139
2012-03-15,72.6825973826354
2012-03-14,72.2868663624032
2012-03-13,69.8182585695266
2012-03-12,68.7190057355484
2012-03-09,68.2303093327856
2012-03-08,66.849647773309
2012-03-07,65.741600916659
2012-03-06,64.8522739667469
2012-03-05,66.0807989340009
2012-03-02,68.1561882845516
2012-03-01,67.6850799271324
2012-02-29,67.2993992185252
2012-02-28,66.0619545997041
2012-02-27,64.8596860715703
2012-02-24,65.1561702645061
2012-02-23,64.0079221613564
2012-02-22,63.9539017363723
2012-02-21,63.3320387045789
2012-02-17,62.8521363244879
2012-02-16,61.1347893255757
2012-02-15,62.4237417914747
2012-02-14,63.0657054465179
2012-02-13,62.4488675705371
2012-02-10,61.3759968045744
2012-02-09,60.3722219310332
2012-02-08,59.0078921279472
2012-02-07,58.3647978128461
2012-02-06,57.5632854607569
2012-02-03,57.2314995482385
2012-02-02,57.0330058936458
2012-02-01,57.2302432592854
2012-01-31,56.9186835989121
2012-01-30,55.9538536829176
2012-01-27,55.7503348725125
2012-01-26,55.6711886684661
2012-01-25,55.7453097167
2012-01-24,52.707603028061
2012-01-23,53.0530824901684
2012-01-20,52.7327288071233
2012-01-19,53.581980139431
2012-01-18,53.5555980714155
2012-01-17,53.1359975610742
2012-01-13,52.5957933112335
2012-01-12,52.6070999118115
2012-01-11,52.6774520931861
2012-01-10,52.9525793739189
2012-01-09,52.9337350396222
2012-01-06,52.6661454926081
2012-01-05,51.8432762283159
2012-01-04,51.4173942732089
2012-01-03,51.3822181825216
2011-12-30,50.6900029693536
2011-12-29,50.3156288613245
2011-12-28,50.4199008444333
2011-12-27,50.6309573885571
2011-12-23,50.188115532583
2011-12-22,49.7616054329995
2011-12-21,49.2477832511743
2011-12-20,48.6510459984433
2011-12-19,47.7992820882294
2011-12-16,47.6849597934956
2011-12-15,47.5266673854028
2011-12-14,47.4475211813564
2011-12-13,48.6309453751934
2011-12-12,48.9261732791761
2011-12-09,49.1246669337687
2011-12-08,49.0241638175193
2011-12-07,48.5885456230257
2011-12-06,48.9173792565043
2011-12-05,49.0440131829786
2011-12-02,48.8168761402549
2011-12-01,47.8332018899636
2011-11-30,47.5254110964497
2011-11-29,46.5078170444242
2011-11-28,46.5241488008147
2011-11-25,45.6434902446791
2011-11-23,46.090729111989
2011-11-22,46.6007824269549
2011-11-21,45.9688690835366
2011-11-18,47.0957602744834
2011-11-17,47.1736501895767
2011-11-16,48.2816970462266
2011-11-15,47.6698843260582
2011-11-14,47.5128482069185
2011-11-11,47.7716437312608
