Date,AdjustedHighPrice
2014-07-17,87.6618264669142
2014-07-16,89.3372448276889
2014-07-15,89.1072313240131
2014-07-14,89.1440334846012
2014-07-11,88.2239794698979
2014-07-10,87.9111611048988
2014-07-09,88.2791827107801
2014-07-08,89.0612286232779
2014-07-07,88.3159848713683
2014-07-03,86.5770827835791
2014-07-02,86.5402806229909
2014-07-01,86.549481163138
2014-06-30,86.2320625280653
2014-06-27,84.6449693527022
2014-06-26,83.770918038734
2014-06-25,83.4488991335879
2014-06-24,84.4057553088793
2014-06-23,84.2953488271149
2014-06-20,85.150999060789
2014-06-19,84.9209855571131
2014-06-18,84.9117850169661
2014-06-17,85.2890071629945
2014-06-16,85.3350098637296
2014-06-13,85.0497931191716
2014-06-12,86.5954838638731
2014-06-11,87.1843184332832
2014-06-10,87.4511340975472
2014-06-09,86.3746709003443
2014-06-06,85.5991968022374
2014-06-05,85.3507690746387
2014-06-04,85.1562565123016
2014-06-03,83.9536144787966
2014-06-02,83.4396985934409
2014-05-30,84.6673135216307
2014-05-29,83.707828620583
2014-05-28,82.7825171543672
2014-05-27,82.2607150917426
2014-05-23,80.7977372029629
2014-05-22,80.1564201238284
2014-05-21,79.7423958172119
2014-05-20,79.7029649308674
2014-05-19,79.8252006785352
2014-05-16,78.5371250579506
2014-05-15,78.4148893102828
2014-05-14,78.5200383405347
2014-05-13,78.1441305573844
2014-05-12,78.0284666241075
2014-05-09,77.0545237314001
2014-05-08,78.1270438399685
2014-05-07,78.0695339569181
2014-05-06,79.0001493611939
2014-05-05,78.5544541313396
2014-05-02,77.6656516553111
2014-05-01,77.744075403196
2014-04-30,78.3492453243742
2014-04-29,77.8983087740362
2014-04-28,77.868246337347
2014-04-25,74.7626659211063
2014-04-24,74.5025604906215
2014-04-23,69.4220086901471
2014-04-22,69.5129802376935
2014-04-21,69.5540219990866
2014-04-17,68.9815286395271
2014-04-16,68.1097179755403
2014-04-15,68.1816064111014
2014-04-14,68.2495736592683
2014-04-11,68.3371468444064
2014-04-10,69.5670926237341
2014-04-09,69.3383566924032
2014-04-08,68.7671703953084
2014-04-07,69.3919462534578
2014-04-04,70.5813730963783
2014-04-03,70.9081387125652
2014-04-02,71.0362308341105
2014-04-01,70.8257937772861
2014-03-31,70.6872451560229
2014-03-28,70.4428114044904
2014-03-27,70.7774324660905
2014-03-26,71.7577293146513
2014-03-25,71.3329340136083
2014-03-24,70.6467262196157
2014-03-21,69.764459055911
2014-03-20,69.6232963097182
2014-03-19,70.0899176096331
2014-03-18,69.5318019371859
2014-03-17,69.2703894442363
2014-03-14,69.3906391909931
2014-03-13,70.5369329725769
2014-03-12,70.2350015432202
2014-03-11,70.4166832258201
2014-03-10,69.7095624323916
2014-03-07,69.5331089996506
2014-03-06,69.8546332953539
2014-03-05,69.8951653023857
2014-03-04,69.619375122324
2014-03-03,69.3592696918392
2014-02-28,69.6337528094362
2014-02-27,69.1148490109313
2014-02-26,68.6207793992567
2014-02-25,69.217453414414
2014-02-24,69.2638410612879
2014-02-21,69.8716381780203
2014-02-20,70.189254356954
2014-02-19,71.4819391345895
2014-02-18,72.043975994431
2014-02-14,71.3629833796728
2014-02-13,71.215298391781
2014-02-12,70.5238623479294
2014-02-11,70.2872840418101
2014-02-10,69.5344160621154
2014-02-07,68.3502043984293
2014-02-06,67.1176575647968
2014-02-05,66.9495685515553
2014-02-04,66.193384556504
2014-02-03,65.9686082143324
2014-01-31,65.1630513811162
2014-01-30,65.808796132904
2014-01-29,65.9218339465972
2014-01-28,66.9131885655391
2014-01-27,72.0843437207012
2014-01-24,72.1908851083201
2014-01-23,72.3052222072282
2014-01-22,72.4078657392025
2014-01-21,71.4697818140701
2014-01-17,71.7296388570431
2014-01-16,72.3506971897485
2014-01-15,72.7859577367282
2014-01-14,71.0358205523052
2014-01-13,70.4862229064174
2014-01-10,70.2653444198904
2014-01-09,71.0527112600985
2014-01-08,70.883804182166
2014-01-07,70.9357755907606
2014-01-06,71.0449155488093
2014-01-03,71.941422347066
2014-01-02,72.374084323616
2013-12-31,72.9262805399336
2013-12-30,72.7716655993647
2013-12-27,73.3329568121863
2013-12-26,73.9942929865525
2013-12-24,74.3035228676903
2013-12-23,74.152805782766
2013-12-20,71.6698717371593
2013-12-19,71.460686817566
