Date,AdjustedOpenPrice
2018-06-04,189.488596173092
2018-06-01,185.885608479114
2018-05-31,185.123046288655
2018-05-30,185.617446049067
2018-05-29,185.498790106568
2018-05-25,186.121733804687
2018-05-24,186.655685545932
2018-05-23,184.262790705538
2018-05-22,186.265109735206
2018-05-21,185.894309914897
2018-05-18,185.09338230303
2018-05-17,185.894309914897
2018-05-16,183.985926839707
2018-05-15,184.687974499492
2018-05-14,186.89299743093
2018-05-11,187.367621200925
2018-05-10,184.924134415358
2018-05-09,183.751982929503
2018-05-08,182.215380981661
2018-05-07,182.402531218898
2018-05-04,175.576472565982
2018-05-03,173.24201960676
2018-05-02,172.596843788916
2018-05-01,163.914254782607
2018-04-30,159.698449438526
2018-04-27,161.54020477319
2018-04-26,161.658404923024
2018-04-25,160.180903050098
2018-04-24,163.18515685838
