date,marketcap
2017-03-24,726595842157.0
2017-03-23,728042420909.0
2017-03-22,730625597254.0
2017-03-21,722462760006.0
2017-03-20,730832251361.0
2017-03-17,723237712909.0
2017-03-16,726854159791.0
2017-03-15,725665898673.0
2017-03-14,718071360220.0
2017-03-13,719156294285.0
2017-03-10,718846313123.0
2017-03-09,716469790886.0
2017-03-08,718123023747.0
2017-03-07,720809527145.0
2017-03-06,719879583661.0
2017-03-03,722152778844.0
2017-03-02,717916369639.0
2017-03-01,722204442371.0
2017-02-28,707738654842.0
2017-02-27,707428673681.0
2017-02-24,706033758455.0
2017-02-23,705362132605.0
2017-02-22,708358617165.0
2017-02-21,706240412563.0
2017-02-17,701177386928.0
2017-02-16,699240004669.0
2017-02-15,700092452863.0
2017-02-14,697560940045.0
2017-02-13,688623149894.0
2017-02-10,682578517248.0
2017-02-09,684128423054.0
2017-02-08,679220388000.0
2017-02-07,676596922400.0
2017-02-06,670218300155.0
2017-02-03,663993999417.0
2017-02-02,661164771809.0
2017-02-01,662296462852.0
2017-01-31,624230491395.0
2017-01-30,625670825450.0
2017-01-27,627316921513.0
2017-01-26,627265481011.0
2017-01-25,626956837999.0
2017-01-24,617131702123.0
2017-01-23,617697547645.0
2017-01-20,617286023629.0
2017-01-19,616154332586.0
2017-01-18,617234583127.0
2017-01-17,617286023629.0
2017-01-13,612347735440.0
2017-01-12,613427985982.0
2017-01-11,616000011080.0
2017-01-10,612707818954.0
2017-01-09,612090532930.0
2017-01-06,606534958718.0
2017-01-05,599847693462.0
2017-01-04,596812703846.0
2017-01-03,597481430371.0
2016-12-30,615049156617.0
2016-12-29,619881609842.0
2016-12-28,620040921486.0
2016-12-27,622696115566.0
2016-12-23,618766428328.0
2016-12-22,617545039052.0
2016-12-21,621634037934.0
2016-12-20,621049895237.0
2016-12-19,619403674907.0
2016-12-16,615845714841.0
2016-12-15,615049156617.0
2016-12-14,611703612076.0
2016-12-13,611703612076.0
2016-12-12,601666978455.0
2016-12-09,605118730759.0
2016-12-08,595400720427.0
2016-12-07,589612397333.0
2016-12-06,583877178121.0
2016-12-05,579416452067.0
2016-12-02,583611658713.0
2016-12-01,581434399568.0
2016-11-30,586904099372.0
2016-11-29,591895864242.0
2016-11-28,592480006939.0
2016-11-25,593648292334.0
2016-11-23,590674474965.0
2016-11-22,593701396216.0
2016-11-21,593329669045.0
2016-11-18,584461320819.0
2016-11-17,583877178121.0
2016-11-16,584089593648.0
2016-11-15,568795675749.0
2016-11-14,561361132326.0
2016-11-11,575805388119.0
2016-11-10,572406739697.0
2016-11-09,588815839109.0
2016-11-08,589771708978.0
2016-11-07,586319956675.0
2016-11-04,577982647264.0
2016-11-03,583239931542.0
2016-11-02,589559293452.0
2016-11-01,589030967174.0
2016-10-31,599861655870.0
2016-10-28,600812643170.0
2016-10-27,604827922882.0
2016-10-26,610692344566.0
2016-10-25,624745823557.0
2016-10-24,621575865889.0
2016-10-21,616028439972.0
2016-10-20,618458740850.0
2016-10-19,618775736617.0
2016-10-18,620624878589.0
2016-10-17,621047539612.0
2016-10-14,621470200634.0
2016-10-13,618036079828.0
2016-10-12,619938054428.0
2016-10-11,614443461138.0
2016-10-10,613122645444.0
2016-10-07,602608952515.0
2016-10-06,601710797842.0
2016-10-05,597272857108.0
2016-10-04,597008693969.0
2016-10-03,594472727836.0
2016-09-30,597272857108.0
2016-09-29,592676418491.0
2016-09-28,602027793609.0
