DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta
3.436,35,9.16,10.78,27.02,35.51,26.01,36.15,6.73,15190000000,14310000000,28.81,2.12,8.59,21.93,8.59,1560000000,21.93,450400000,1.82,39.2,11.2,1310000000,5.38,3.436,3.436,5.934,621520000,1.519
3.511,34.7,9.47,9.99,27.93,34.92,25.97,35.48,6.882,16200000000,14780000000,28.45,2.09,8.61,22.34,8.61,1560000000,22.34,479260000,1.92,69.1,28.7,1470000000,6.03,3.511,3.511,6.682,683740000,1.615
28.03,19.8,4.28,3.14,22.23,28.48,8.69,16.65,7.72,15770000000,15770000000,13.18,1.06,3.97,11.1,3.97,3400000000,11.1,882120000,1.69,84.5,19.7,2640000000,5.23,1520000000,3.4,10.74,15770000000,1.51
28.17,14.01,3.34,2.51,23.78,28.84,8.93,18.22,7.98,12410000000,12410000000,10.18,1.01,3.07,8.56,3.07,3400000000,8.56,962940000,1.87,54.4,8.5,2630000000,5.32,1520000000,3.23,10.92,12410000000,1.54
27.25,14.37,3.16,2.32,22.79,28.13,8.71,17.43,8.12,11680000000,11680000000,10.29,0.91,2.87,8.23,2.87,3400000000,8.23,927980000,1.83,15.2,2.3,2720000000,5.54,1520000000,3.36,11.29,11680000000,1.56
25.26,21.69,3.93,2.78,18.51,27.9,8.47,13.73,8.55,15450000000,15450000000,12.76,1.49,3.65,10.62,3.65,3780000000,10.62,783470000,1.56,21.1,1.7,2770000000,5.6,1510000000,3.14,12.12,1530000000,1.61
24.76,20.91,3.54,2.52,17.94,27.87,8.53,13.54,8.78,14430000000,14430000000,12.22,1.44,3.33,9.67,3.33,3780000000,9.67,777910000,1.55,2.4,9.9,3000000000,6.1,1510000000,3.03,12.35,1580000000,1.32
6.053,49.06,7.97,5.07,16.25,20.38,7.46,11.15,5.663,16830000000,15120000000,22.52,1.46,6.92,33.84,6.92,1120000000,33.84,355130000,0.918,183.3,19.9,2310000000,6.17,6.053,6.053,9.198,519360000,2.687
5.778,40.35,7.28,4.78,18.48,23.06,9.37,13.19,6.058,16920000000,14380000000,20.1,1.25,6.09,26.34,6.09,1120000000,26.34,436400000,1.116,183.3,19.9,2540000000,6.76,5.778,5.778,9.575,648600000,2.715
5.778,32.19,5.76,3.78,18.48,23.06,9.37,13.19,6.058,13500000000,11060000000,16.04,0.99,4.68,20.26,4.68,1120000000,20.26,436400000,1.116,183.3,19.9,2540000000,6.76,5.778,5.778,9.575,648600000,2.647
