Date,OpenPrice
2016-07-06,94.6
2016-07-05,95.39
2016-07-01,95.49
2016-06-30,94.44
2016-06-29,93.97
2016-06-28,92.9
2016-06-27,93.0
2016-06-24,92.91
2016-06-23,95.94
2016-06-22,96.25
2016-06-21,94.94
2016-06-20,96.0
2016-06-17,96.62
2016-06-16,96.45
2016-06-15,97.82
2016-06-14,97.32
2016-06-13,98.69
2016-06-10,98.53
2016-06-09,98.5
2016-06-08,99.02
2016-06-07,99.25
2016-06-06,97.99
2016-06-03,97.79
2016-06-02,97.6
2016-06-01,99.02
2016-05-31,99.6
2016-05-27,99.44
2016-05-26,99.68
2016-05-25,98.67
2016-05-24,97.22
2016-05-23,95.87
2016-05-20,94.64
2016-05-19,94.64
2016-05-18,94.16
2016-05-17,94.55
2016-05-16,92.39
2016-05-13,90.0
2016-05-12,92.72
2016-05-11,93.48
2016-05-10,93.33
2016-05-09,93.0
2016-05-06,93.37
2016-05-05,94.0
2016-05-04,95.2
2016-05-03,94.2
2016-05-02,93.965
2016-04-29,93.99
2016-04-28,97.61
2016-04-27,96.0
2016-04-26,103.91
2016-04-25,105.0
2016-04-22,105.01
2016-04-21,106.93
2016-04-20,106.64
2016-04-19,107.88
2016-04-18,108.89
2016-04-15,112.11
2016-04-14,111.62
2016-04-13,110.8
2016-04-12,109.34
2016-04-11,108.97
2016-04-08,108.91
2016-04-07,109.95
2016-04-06,110.23
2016-04-05,109.51
2016-04-04,110.42
2016-04-01,108.78
2016-03-31,109.72
2016-03-30,108.65
2016-03-29,104.89
2016-03-28,106.0
2016-03-24,105.47
2016-03-23,106.48
2016-03-22,105.25
2016-03-21,105.93
2016-03-18,106.34
2016-03-17,105.52
2016-03-16,104.61
2016-03-15,103.96
2016-03-14,101.91
2016-03-11,102.24
2016-03-10,101.41
2016-03-09,101.31
2016-03-08,100.78
2016-03-07,102.39
2016-03-04,102.37
2016-03-03,100.58
2016-03-02,100.51
2016-03-01,97.65
2016-02-29,96.86
2016-02-26,97.2
2016-02-25,96.05
2016-02-24,93.98
2016-02-23,96.4
2016-02-22,96.31
2016-02-19,96.0
2016-02-18,98.84
2016-02-17,96.67
2016-02-16,95.02
2016-02-12,94.19
2016-02-11,93.79
2016-02-10,95.92
2016-02-09,94.29
2016-02-08,93.13
2016-02-05,96.52
2016-02-04,95.86
2016-02-03,95.0
2016-02-02,95.42
2016-02-01,96.47
2016-01-29,94.79
2016-01-28,93.79
2016-01-27,96.04
2016-01-26,99.93
2016-01-25,101.52
2016-01-22,98.63
2016-01-21,97.06
2016-01-20,95.1
2016-01-19,98.41
2016-01-15,96.2
2016-01-14,97.96
2016-01-13,100.32
2016-01-12,100.55
2016-01-11,98.97
2016-01-08,98.55
2016-01-07,98.68
2016-01-06,100.56
2016-01-05,105.75
2016-01-04,102.61
2015-12-31,107.01
2015-12-30,108.58
2015-12-29,106.96
2015-12-28,107.59
2015-12-24,109.0
2015-12-23,107.27
2015-12-22,107.4
2015-12-21,107.28
2015-12-18,108.91
2015-12-17,112.02
2015-12-16,111.07
2015-12-15,111.94
2015-12-14,112.18
2015-12-11,115.19
2015-12-10,116.04
2015-12-09,117.64
2015-12-08,117.52
2015-12-07,118.98
2015-12-04,115.29
2015-12-03,116.55
2015-12-02,117.05
2015-12-01,118.75
2015-11-30,117.99
2015-11-27,118.29
2015-11-25,119.21
2015-11-24,117.33
2015-11-23,119.27
2015-11-20,119.2
2015-11-19,117.64
2015-11-18,115.76
2015-11-17,114.92
2015-11-16,111.38
2015-11-13,115.2
2015-11-12,116.26
2015-11-11,116.37
2015-11-10,116.9
2015-11-09,120.96
2015-11-06,121.11
2015-11-05,121.85
2015-11-04,123.13
2015-11-03,120.79
2015-11-02,119.87
2015-10-30,120.99
2015-10-29,118.7
2015-10-28,116.93
2015-10-27,115.4
2015-10-26,118.08
2015-10-23,116.7
2015-10-22,114.33
2015-10-21,114.0
2015-10-20,111.34
2015-10-19,110.8
2015-10-16,111.78
2015-10-15,110.93
2015-10-14,111.29
2015-10-13,110.82
2015-10-12,112.73
2015-10-09,110.0
2015-10-08,110.19
2015-10-07,111.74
2015-10-06,110.63
2015-10-05,109.88
2015-10-02,108.01
2015-10-01,109.07
2015-09-30,110.17
2015-09-29,112.83
2015-09-28,113.85
2015-09-25,116.44
2015-09-24,113.25
2015-09-23,113.63
2015-09-22,113.38
2015-09-21,113.67
2015-09-18,112.21
2015-09-17,115.66
2015-09-16,116.25
2015-09-15,115.93
2015-09-14,116.58
2015-09-11,111.79
2015-09-10,110.27
2015-09-09,113.76
2015-09-08,111.65
2015-09-04,108.97
2015-09-03,112.49
2015-09-02,110.23
2015-09-01,110.15
2015-08-31,112.03
2015-08-28,112.17
2015-08-27,112.23
2015-08-26,107.085
2015-08-25,111.11
2015-08-24,94.87
2015-08-21,110.43
2015-08-20,114.08
2015-08-19,116.1
2015-08-18,116.43
2015-08-17,116.04
2015-08-14,114.32
2015-08-13,116.04
2015-08-12,112.53
2015-08-11,117.81
2015-08-10,116.53
2015-08-07,114.58
2015-08-06,115.97
2015-08-05,112.95
2015-08-04,117.42
2015-08-03,121.5
2015-07-31,122.6
2015-07-30,122.32
2015-07-29,123.15
2015-07-28,123.38
2015-07-27,123.09
2015-07-24,125.32
2015-07-23,126.2
2015-07-22,121.99
2015-07-21,132.85
2015-07-20,130.97
2015-07-17,129.08
2015-07-16,127.74
2015-07-15,125.72
2015-07-14,126.04
2015-07-13,125.03
2015-07-10,121.94
2015-07-09,123.85
2015-07-08,124.48
2015-07-07,125.89
2015-07-06,124.94
2015-07-02,126.43
2015-07-01,126.9
2015-06-30,125.57
2015-06-29,125.46
2015-06-26,127.67
2015-06-25,128.86
2015-06-24,127.21
2015-06-23,127.48
2015-06-22,127.49
2015-06-19,127.71
2015-06-18,127.23
2015-06-17,127.72
2015-06-16,127.03
2015-06-15,126.1
2015-06-12,128.185
2015-06-11,129.18
2015-06-10,127.92
2015-06-09,126.7
2015-06-08,128.9
2015-06-05,129.5
2015-06-04,129.58
2015-06-03,130.66
2015-06-02,129.86
2015-06-01,131.2
2015-05-29,131.23
2015-05-28,131.86
2015-05-27,130.34
2015-05-26,132.6
2015-05-22,131.6
2015-05-21,130.07
2015-05-20,130.0
2015-05-19,130.69
2015-05-18,128.38
2015-05-15,129.07
2015-05-14,127.41
2015-05-13,126.15
2015-05-12,125.6
2015-05-11,127.39
2015-05-08,126.68
2015-05-07,124.77
2015-05-06,126.56
2015-05-05,128.15
2015-05-04,129.5
2015-05-01,126.1
2015-04-30,127.5
2015-04-29,130.16
2015-04-28,134.455
2015-04-27,132.31
2015-04-24,130.49
2015-04-23,128.3
2015-04-22,126.99
2015-04-21,128.1
2015-04-20,125.57
2015-04-17,125.55
